PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,3,female,,1,0,21.12,C
2,1,2,male,31.0,3,0,23.01,C
3,0,3,female,,0,1,19.78,Q
4,0,3,male,14.0,0,0,19.4,C
5,0,1,male,17.0,0,0,28.92,S
6,1,3,male,21.0,0,0,21.49,S
7,1,3,female,14.0,0,0,11.4,S
8,0,3,male,,0,0,4.0,Q
9,1,1,male,38.0,0,0,123.5,S
10,1,3,female,,2,0,15.17,S
11,0,2,male,29.0,0,0,25.22,C
12,0,3,male,26.0,0,1,12.63,S
13,0,3,female,,1,0,5.81,C
14,0,3,male,29.0,0,0,19.1,S
15,0,2,male,,1,0,50.14,S
16,1,1,female,13.0,1,1,138.96,S
17,0,3,female,29.0,0,0,16.57,S
18,0,1,male,42.0,1,0,94.43,S
19,0,3,male,0.0,0,0,4.06,Q
20,0,3,male,33.0,1,0,4.0,S
21,0,3,male,44.0,1,0,18.65,S
22,0,2,male,27.0,1,0,20.38,C
23,0,3,male,36.0,0,0,14.33,C
24,1,3,female,,0,0,16.71,S
25,1,3,female,27.0,1,0,19.02,Q
26,0,1,male,8.0,2,0,119.15,S
27,1,3,male,0.0,0,2,12.35,S
28,1,1,male,41.0,0,0,81.47,S
29,1,1,female,16.0,0,0,149.4,C
30,0,3,male,23.0,1,0,22.87,S
31,0,3,male,11.0,3,1,16.37,S
32,0,3,male,11.0,0,0,4.0,C
33,0,2,male,,0,2,32.26,S
34,1,2,female,20.0,0,0,24.25,S
35,0,3,female,34.0,0,0,18.61,C
36,0,1,male,35.0,0,0,63.61,S
37,1,1,female,33.0,0,0,85.3,S
38,1,3,female,32.0,0,1,14.64,S
39,1,1,male,50.0,0,1,46.01,Q
40,1,3,male,15.0,0,0,17.94,S
41,0,2,male,28.0,0,2,8.17,
42,0,3,female,44.0,1,0,4.0,S
43,0,3,male,45.0,0,0,29.25,S
44,1,2,male,11.0,1,0,58.15,Q
45,0,3,male,25.0,0,0,17.47,S
46,1,3,female,47.0,0,1,4.0,S
47,0,2,male,36.0,0,0,36.67,S
48,1,2,female,32.0,0,0,25.78,S
49,0,3,male,26.0,0,0,26.41,S
50,1,1,female,24.0,0,0,31.78,Q
51,1,1,male,33.0,1,0,53.1,S
52,0,1,male,26.0,0,0,32.26,S
53,1,3,female,28.0,0,0,21.65,S
54,0,3,female,30.0,0,0,9.56,S
55,0,3,male,20.0,0,0,4.0,S
56,0,3,male,,1,0,19.21,
57,1,3,female,67.0,1,0,24.25,S
58,0,3,female,6.0,0,1,12.17,C
59,0,1,male,33.0,0,2,99.64,C
60,1,1,male,19.0,0,0,71.31,S
61,0,3,female,37.0,0,2,4.54,Q
62,1,3,female,30.0,1,0,23.26,S
63,1,3,female,39.0,1,0,16.87,S
64,0,3,male,44.0,0,0,17.9,C
65,0,3,male,32.0,0,0,28.02,S
66,1,3,female,44.0,0,1,4.0,S
67,1,3,female,0.0,0,0,7.48,C
68,1,2,female,,0,0,4.0,S
69,1,1,male,34.0,0,0,27.8,C
70,1,2,male,43.0,2,0,21.15,S
71,0,1,female,13.0,0,0,143.83,C
72,0,2,male,18.0,0,0,28.53,S
73,1,3,female,31.0,0,0,13.66,S
74,0,1,male,29.0,0,0,32.29,S
75,1,1,female,33.0,1,0,68.75,C
76,1,2,female,43.0,0,0,19.75,S
77,1,2,male,6.0,1,0,35.84,
78,0,3,male,42.0,1,0,16.2,S
79,0,3,male,29.0,0,0,11.12,S
80,0,3,male,26.0,0,0,5.84,S
81,0,3,male,10.0,2,0,15.89,S
82,0,2,male,36.0,0,0,15.46,Q
